Architecture,Application Type,Development Type,Development Platform,Language Type,Relative Size,Used Methodology,Agile Method Used,Resource Level,Package Customisation,Industry Sector,Effort,Project Elapsed Time,Project Inactive Time,Duration
Stand alone,Computing of the thermodynamic process ,Enhancement,MR,4GL,S,Yes,,,Yes,Manufacturing,870,9,,9
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,M1,,,1,,Communication,468,4.4,,4.4
,Transaction/Production System ,New Development,MF,4GL,M1,Yes,,1,No,Banking,2288,7,0,7
,Financial transaction process/accounting ,New Development,MF,3GL,M1,Don't Know,,1,No,Insurance,2569,4,0,4
,Financial transaction process/accounting ,Enhancement,MF,3GL,XXS,Don't Know,,1,No,Banking,145,0.1,0,0.1
Stand alone,Transaction/Production System ,New Development,MF,ApG,S,Yes,,4,No,Manufacturing,648,6,,6
,MS Billing ,Enhancement,,3GL,S,,,1,,,12702,,,0
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,1000,7,,7
,,Enhancement,Multi,3GL,M1,Yes,,1,,Manufacturing,499,9,0.27,9
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,XS,Yes,,1,,,118,1,,1
,,New Development,,4GL,M2,Don't Know,,1,Don't Know,,2632,6,0,6
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,81,1.9,0,1.9
Client server,Catalogue/register of things or events Document management Online analysis and reporting Workflow support & management Complex process control ,New Development,Multi,3GL,M2,Yes,,1,,Medical & Health Care,2503,44,0,44
,Financial transaction process/accounting ,New Development,PC,4GL,M2,Don't Know,,1,No,Insurance,2516,3,0,3
Client server,Transaction/Production System ,Enhancement,PC,ApG,M2,,,1,No,Communication,1009,2.5,0,2.5
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,2565,15,,15
Stand alone,,Enhancement,MF,3GL,M1,Yes,,2,No,Insurance,4150,17,0,17
Client server,,New Development,,3GL,S,Yes,,1,,,2915,9,,9
Client server,"Job, case, incident, project management ",Enhancement,Multi,3GL,S,Yes,,1,,Electronics & Computers,1112,4,0,4
Multi-tier,Transaction/Production System ,Enhancement,MF,3GL,S,Yes,,1,No,,3199,13.7,0,13.7
Client server,,Enhancement,PC,4GL,S,,,1,,Electronics & Computers,2035,6,,6
,,New Development,,3GL,M1,Yes,,1,,Insurance,2175,6,1,6
Stand alone,Management Information System ,New Development,MF,3GL,M1,Yes,,1,No,Utilities,668,9,3,9
Client server,,Enhancement,PC,3GL,S,,,1,,Electronics & Computers,514,4,,4
,,Enhancement,MF,3GL,XS,,,1,,,536,3.7,,3.7
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,3772,6,0,6
,Financial transaction process/accounting ,New Development,Multi,4GL,S,Yes,,1,,,263,2.7,,2.7
Stand alone,Financial transaction process/accounting ,Enhancement,,4GL,M1,Yes,,1,,Financial,420,,,0
Client server,Complex process control ,Enhancement,MR,4GL,M1,Yes,,1,,Communication,3901,4,,4
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,292,3.2,,3.2
Client server,Cars selling ,Enhancement,,3GL,M1,Yes,,3,No,Manufacturing,2704,9.5,,9.5
Stand alone,Online analysis and reporting ,Enhancement,PC,3GL,M2,Yes,,1,,Communication,5829,5,0,5
Stand alone,Management of Licences and Permits ,Enhancement,MF,ApG,XS,Yes,,1,,Government,657,10.8,,10.8
,Government ,New Development,PC,4GL,S,,,1,,Government,120,0.7,,0.7
Multi-tier,Online. eSales ,Enhancement,Multi,,S,,,1,,Communication,119,8.3,,8.3
,Transaction/Production System ,Enhancement,,3GL,M2,Yes,,1,,Communication,3607,13,,13
Multi-tier with web public interface,Financial application area ,New Development,Multi,3GL,M1,Yes,,1,,,946,3,,3
,Management Information System ,Enhancement,,4GL,S,Yes,,1,,Communication,1606,4,,4
Stand alone,Warranty Management ,Enhancement,MF,3GL,M1,Yes,,3,No,Manufacturing,2536,5,,5
,,New Development,PC,3GL,M2,Yes,,1,,Manufacturing,3876,32,24,32
Stand alone,Surveillance and security ,Enhancement,PC,3GL,XS,,Yes,1,,Banking,52,12,,12
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,,Financial,12548,12,,12
,,New Development,MR,3GL,M2,Yes,,1,,Wholesale & Retail,6337,10,0,10
,,Enhancement,MF,4GL,L,Yes,,1,,Insurance,757,2,0,2
,Telecom & network management ,Enhancement,,3GL,M2,,,1,,,15112,,,0
Client server,Management Information System ,Enhancement,MF,3GL,M1,Yes,,4,No,Wholesale & Retail,21739,4,,4
,Transaction/Production System ,Enhancement,,3GL,S,Yes,,1,,Communication,1936,6,,6
Stand alone,Financial transaction process/accounting ,Enhancement,,3GL,M2,Yes,,1,,Insurance,8459,9,,9
,,Enhancement,PC,3GL,S,Yes,,1,,Insurance,362,6,1,6
Client server,Manufacturing process management ,Enhancement,Multi,3GL,S,Yes,,3,,Manufacturing,374,4,,4
Stand alone,,New Development,MF,3GL,M1,Yes,,2,No,Insurance,1158,7,,7
,Financial transaction process/accounting ,Enhancement,Multi,3GL,XXS,Yes,,1,,,71,1.3,,1.3
,,New Development,PC,3GL,L,Yes,,1,,Insurance,8429,18,,18
,Military ,New Development,PC,4GL,L,,,1,,Government,19344,20.2,,20.2
,,New Development,MF,3GL,M1,Yes,,1,,Insurance,4484,16,,16
,,Enhancement,,,M1,,,1,,,1888,5.5,0,5.5
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,No,Insurance,2710,3,0,3
Stand alone,Transaction/Production System ,Enhancement,PC,ApG,M1,,,1,No,Communication,916,3,,3
,,Enhancement,,3GL,S,,,1,,,253,5.4,0,5.4
,Web-based Application ,New Development,PC,4GL,M1,,,4,,Banking,737,2,,2
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,4061,15,,15
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,813,6,,6
Client server,,Enhancement,,4GL,XS,,,1,,,343,2.5,0,2.5
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M2,Don't Know,,1,No,Manufacturing,4805,12.3,0,12.3
Stand alone,Transaction/Production System ,New Development,MF,3GL,L,Yes,,4,,,801,10,,10
,Office Information System ,New Development,PC,4GL,M1,No,,2,No,Manufacturing,3570,12,,12
Stand alone,Management Information System ,New Development,MF,4GL,XL,Yes,,4,No,Manufacturing,11934,17,,17
,Sales promotion tool ,New Development,MF,4GL,M1,Don't Know,,1,No,Insurance,2108,7.9,0,7.9
Client server,,Enhancement,PC,4GL,M1,,,1,,Electronics & Computers,5402,12,,12
,,Enhancement,MF,3GL,M1,Yes,,4,,Insurance,1297,7,0,7
Client server,Stock control & order processing ,Enhancement,Multi,4GL,M1,Yes,,1,,Service Industry,5062,11,0,11
Stand alone,,New Development,MF,3GL,M1,Yes,,1,No,Banking,2408,6,0,6
,,Enhancement,MF,3GL,M1,Yes,,1,No,Service Industry,756,3.7,0,3.7
,relatively complex application ,Enhancement,MF,3GL,XXS,Yes,,1,,Communication,65,,,0
,Company hierarchy and staff directory ,Enhancement,,3GL,M1,Yes,,1,Yes,Communication,1498,6,,6
Client server,Logistic indicators ,Enhancement,MR,3GL,S,Yes,,3,No,Manufacturing,952,3.9,,3.9
,Management Information System ,Enhancement,,4GL,S,Yes,,1,,Communication,4063,7,,7
,,Enhancement,MF,ApG,S,Yes,,1,,Insurance,875,5.2,0.2,5.2
,,Enhancement,,3GL,M1,,,1,,,1822,,,0
Multi-tier with web public interface,Customer relationship management ,New Development,PC,3GL,S,Yes,,1,,Service Industry,2006,5,0,5
,Financial transaction process/accounting ,New Development,MR,4GL,M2,Don't Know,,1,No,Service Industry,11372,12,0,12
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,,,1,,Banking,1416,,,0
Client server,Real-time System ,New Development,MR,3GL,L,Yes,,1,,Communication,88555,19,,19
,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Don't Know,,1,No,Banking,180,3,0,3
Client server,Trading ,New Development,PC,3GL,,Yes,,1,,Utilities,12269,11.6,,11.6
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M1,Yes,,1,,Financial,1253,5.2,0,5.2
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,2651,6,,6
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,2368,6.2,,6.2
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,1354,4.2,,4.2
Stand alone,,New Development,MR,3GL,M2,,,1,No,Communication,10200,9,,9
,Fixed asset ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Wholesale & Retail,930,3.6,0,3.6
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,2920,10,,10
,,Enhancement,,,M2,Don't Know,,1,Don't Know,,1788,6,0,6
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,13316,11,,11
Stand alone,Catalogue/register of things or events Customer billing/relationship management Electronic Data Interchange ,Enhancement,MF,3GL,M2,Yes,,1,,Service Industry,5377,10,1,10
Stand alone,Parts selling ,Enhancement,MF,3GL,XS,Yes,,3,,Manufacturing,278,4,,4
Client server,Customer billing/relationship management ,Enhancement,Multi,3GL,M1,Yes,,1,,Government,1485,12,,12
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M2,,,1,No,Communication,1681,2,,2
,,Enhancement,MF,3GL,XXS,,,1,,,554,3,,3
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,5305,16,,16
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,2450,24,,24
Stand alone,Transaction/Production System ,New Development,MF,3GL,S,Yes,,4,No,Banking,932,,,0
Client server,Factory parts follow up ,Enhancement,MR,3GL,M2,Yes,,,No,Manufacturing,13064,11.7,,11.7
,,New Development,,3GL,XS,Don't Know,,1,Don't Know,,686,4,0,4
,,New Development,Multi,3GL,M1,,,1,,,1492,1.6,,1.6
,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Don't Know,,1,No,Banking,2347,2.7,0,2.7
Stand alone,Transaction/Production System ,New Development,MF,3GL,L,Yes,,4,No,Insurance,15142,18,0,18
Stand alone,Parts selling ,Enhancement,MR,3GL,XS,Yes,,3,No,Manufacturing,432,3.3,,3.3
Client server,Electronic Data Interchange ,New Development,MF,4GL,M2,No,,1,No,Financial,4363,,,0
Multi-tier,Data Warehouse system ,Enhancement,Multi,3GL,S,,,1,,Communication,208,5.7,,5.7
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,2415,10,0.03,10
Client server,Cars documentation ,Enhancement,MR,3GL,M2,Yes,,3,No,Manufacturing,3355,17,,17
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,152,1.7,0,1.7
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XXS,Yes,,1,,Financial,55,1.8,1.3,1.8
Multi-tier / Client server,Workflow support & management ,New Development,Multi,4GL,S,Don't Know,,1,No,Banking,218,1.9,0,1.9
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,538,6,,6
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,170,8,,8
,,New Development,MF,3GL,M1,Yes,,1,,Banking,1606,19,11,19
,Executive Information System ,Enhancement,PC,3GL,M2,Yes,,1,Yes,Manufacturing,1197,,,0
Stand alone,Real-time System ,Enhancement,MR,3GL,S,No,,1,,Communication,2053,7,,7
Client server,Transaction/Production System ,Enhancement,PC,ApG,M2,,,1,No,Communication,3359,3.3,0,3.3
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,M1,Yes,,1,,,1817,5.8,,5.8
,,Enhancement,MR,3GL,,Yes,,1,,Communication,2170,5,0,5
Stand alone,Decision Support System ,Enhancement,PC,4GL,S,,,1,,Manufacturing,2049,,,0
Client server,After sales Parts documentation ,Enhancement,Multi,3GL,M1,Yes,,3,No,Manufacturing,1414,8,,8
Client server,Stock factory manegement ,Enhancement,MR,4GL,M2,Yes,,3,Yes,Manufacturing,7930,15.6,,15.6
Stand-alone,Operating system or software utility ,New Development,PC,3GL,,Yes,,4,,Electronics & Computers,2513,2,0,2
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Insurance,6459,2.9,0,2.9
,Financial transaction process/accounting ,New Development,MR,4GL,M2,Don't Know,,1,No,Service Industry,8580,8.5,0,8.5
Client server,Management Information System ,New Development,MR,3GL,M1,Yes,,2,No,Banking,3034,7,0,7
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M2,Yes,,2,No,Insurance,1680,8,,8
,Production management system ,New Development,PC,3GL,M2,Don't Know,,1,No,Construction,1427,3,0,3
Client server,Office Information System ,New Development,MF,3GL,M2,No,,1,No,Utilities,1113,,,0
Client server,relatively complex application ,Enhancement,Multi,4GL,M1,Yes,,1,,Communication,8486,,,0
Stand alone,Management Information System ,New Development,MF,ApG,S,Yes,,1,No,Banking,804,8,0,8
Stand alone,,New Development,MR,,XL,,,4,,,114648,20,,20
,Software for machine control ,New Development,,3GL,S,,,1,,Manufacturing,270,24,,24
,Transaction/Production System ,New Development,MF,3GL,M2,Yes,,1,No,Banking,5867,12,2,12
Client server,Track test management ,New Development,MR,3GL,M1,Yes,,3,No,Manufacturing,1856,12.4,,12.4
Client server,Car selling ,Enhancement,,3GL,S,Yes,,3,No,Manufacturing,971,5.7,,5.7
Multi-tier / Client server,Trading ,New Development,Multi,4GL,M1,Don't Know,,1,No,Utilities,1718,6.9,0,6.9
,Financial transaction process/accounting ,New Development,Multi,4GL,M1,Yes,,1,,,2471,6.9,,6.9
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,330,1.9,0,1.9
Multi-tier,Data Warehouse system ,Enhancement,Multi,3GL,S,,,1,,Communication,98,4.1,,4.1
,,Enhancement,Multi,3GL,M1,Yes,,1,,Government,498,10,8,10
Client server,Embedded system/real-time application ,Enhancement,Multi,4GL,M2,Yes,,1,,Manufacturing,36169,,,0
Stand alone,Parts selling ,Enhancement,MR,3GL,S,Yes,,3,,Manufacturing,626,5,,5
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Banking,185,3.4,0,3.4
,Web-based Application ,New Development,MF,4GL,,,,4,,Communication,1044,1.9,,1.9
Multi-tier,,Enhancement,Multi,3GL,M1,Yes,,1,,Insurance,1103,7.3,0.33,7.3
Client server,,Enhancement,,4GL,M1,,,1,,,1847,2.6,0,2.6
Multi-tier,Data Warehouse system ,Enhancement,Multi,3GL,S,,,1,,Communication,77,6.4,,6.4
,,New Development,MF,3GL,M1,Yes,,1,,Insurance,2345,4,1,4
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,,,1,,Banking,2955,,,0
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Banking,4997,33,0,33
Client server,Manufacturing process management ,Enhancement,Multi,3GL,S,Yes,,3,,Manufacturing,400,3,,3
,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,885,5,0,5
,,Enhancement,Multi,3GL,S,Yes,,1,,Insurance,664,5.2,0.2,5.2
Client server,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,Government,2204,15,0,15
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M1,Yes,,1,,Financial,409,2.5,0,2.5
Client server,,Enhancement,,4GL,S,,,1,,,161,1.8,0,1.8
Client server,Extranet application ,Re-development,Multi,4GL,S,Yes,,4,,Communication,740,5,,5
,,New Development,Multi,3GL,M1,,,1,,,2286,3.9,,3.9
Client server,Geometric design ,Enhancement,,3GL,M1,Yes,,3,Yes,Manufacturing,883,5.1,,5.1
Multi-tier,Management Information System ,New Development,MR,3GL,M2,Yes,,1,No,Government,3484,,,0
,Billing ,Enhancement,,3GL,S,Yes,,1,,Wholesale & Retail,1607,,,0
,Stock control & order processing ,Enhancement,MF,3GL,M1,Yes,,1,,Wholesale & Retail,9719,,,0
Stand alone,,Enhancement,MF,,M1,Don't Know,,1,No,Insurance,1170,1,0,1
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M1,,,1,No,Communication,2992,4,,4
Multi-tier,Stock control & order processing ,Enhancement,Multi,3GL,S,,,1,,Communication,133,4.4,,4.4
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1871,9,,9
,Financial transaction process/accounting ,Enhancement,,,S,Yes,,1,,Financial,940,,,0
Stand alone,Management Information System ,New Development,PC,4GL,M2,No,,1,No,Construction,1223,,,0
Stand alone,Reporting ,Enhancement,MF,3GL,S,Yes,,1,,Government,1058,21.6,,21.6
Stand alone,Transaction/Production System ,New Development,MF,,M1,Yes,,1,No,Financial,3348,26,0,26
,,Enhancement,Multi,3GL,XS,Yes,,1,,Government,292,12.8,5.8,12.8
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M1,,,1,No,Communication,4342,4,,4
,,Enhancement,,,M2,Don't Know,,1,Don't Know,,1235,5,0,5
Multi-tier,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,Banking,5646,9,0,9
Client server,Parts documentation ,Enhancement,MR,3GL,M1,Yes,,,No,Manufacturing,2411,5.6,,5.6
Stand alone,Online analysis and reporting ,Enhancement,MF,3GL,XS,,,1,,Insurance,40,0.5,,0.5
Stand alone,Transaction/Production System ,Enhancement,MR,4GL,M2,Yes,,1,,Communication,814,7,,7
,Integration ,Enhancement,,3GL,M1,,,1,,Communication,761,3.6,,3.6
Multi-tier,Data Warehouse system ,Enhancement,Multi,3GL,S,,,1,,Communication,132,5.3,,5.3
,,Re-development,,,M1,,,1,,,2873,4.4,0,4.4
Stand alone,Business ,New Development,MF,3GL,M1,Yes,,1,,Communication,344,2,,2
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,812,11,,11
,Financial transaction process/accounting ,New Development,MF,3GL,S,,,1,,Banking,3535,,,0
Multi-tier / Client server,Catalogue/register of things or events Online analysis and reporting Electronic Data Interchange ,Enhancement,Multi,3GL,M1,Yes,,1,,Government,911,3,,3
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,983,2,0,2
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,37,2.5,0,2.5
Client server,,Enhancement,Multi,4GL,S,,,1,,,362,3,,3
Stand alone,Executive Information System ,Enhancement,PC,3GL,S,Yes,,1,No,Government,2496,6.4,,6.4
Stand alone,Telecom & network management ,Enhancement,MF,3GL,L,No,,1,Yes,Electronics & Computers,65486,,,0
,,New Development,Multi,3GL,M2,Yes,,1,,Government,4160,18,1.9,18
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,197,1.1,0,1.1
Client server,relatively complex application ,Enhancement,Multi,4GL,S,Yes,,1,,Communication,261,,,0
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,290,3.6,,3.6
Stand alone,Transaction/Production System ,Enhancement,MR,3GL,M1,No,,1,No,Banking,1171,10,4,10
Client server,Production programming ,Enhancement,MR,4GL,M1,Yes,,3,No,Manufacturing,642,4.5,,4.5
,,Enhancement,,,S,Don't Know,,1,Don't Know,,417,3,0,3
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,5230,8,,8
Client server,,New Development,PC,4GL,M2,,,1,,,2960,5,0,5
Client server,Management Information System ,New Development,MR,,XXL,No,,1,No,Manufacturing,3483,,,0
,,Enhancement,,,M1,,,1,,,878,6.8,0,6.8
Multi-tier with web interface,relatively complex application ,Enhancement,Multi,4GL,S,Yes,,1,,Communication,578,,,0
Client server,Office Information System ,New Development,MR,3GL,,Yes,,2,No,Communication,8914,18,2,18
Stand alone,,New Development,MF,3GL,,,,4,No,Financial,139,3,,3
,,Enhancement,,3GL,M2,Yes,,1,,Insurance,889,3,0,3
Client server,Management Information System ,New Development,,4GL,M1,No,,1,No,Manufacturing,4064,3,0,3
Client server,,New Development,MF,3GL,M2,,,4,,,15840,12,,12
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,16747,15,,15
Client server,Management Information System ,Enhancement,,4GL,M2,Yes,,1,,Communication,5239,10,,10
,Sales contact management ,New Development,MF,3GL,M1,Don't Know,,1,No,Insurance,7040,9,0,9
,,Enhancement,MF,3GL,XS,,,1,,,1777,3.7,,3.7
Client server,,New Development,PC,3GL,M2,,,4,,,5190,18,,18
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,168,2.3,,2.3
Multi-tier,Transaction/Production System ,Enhancement,MF,4GL,M1,Yes,,1,No,Insurance,3532,13,2,13
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,4380,15,,15
,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,1307,2,0.07,2
,Billing ,Enhancement,,3GL,S,Yes,,1,,Wholesale & Retail,3680,,,0
Stand alone,Software for machine control ,New Development,PC,4GL,L,Yes,,4,,Manufacturing,435,2.5,,2.5
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,7879,19,,19
Stand alone,Telecom & network management ,Enhancement,PC,3GL,S,Yes,,1,,Communication,525,1,,1
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M1,Yes,,1,No,,5876,9.1,0,9.1
Client server,Supporting of the commercial network ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,2025,7.4,,7.4
,Personnel system ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Banking,3280,7.7,0,7.7
Multi-tier / Client server,Financial application area ,New Development,Multi,4GL,M2,Yes,,1,,,15819,14.4,,14.4
Client server,,Enhancement,,4GL,XS,,,1,,,268,1.9,0,1.9
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M1,Yes,,1,No,,1934,18.7,18.6,18.7
Client server,Workflow support & management ,New Development,PC,3GL,M2,Yes,,4,,Financial,16532,14,0,14
Client server,,New Development,MR,4GL,XL,,,1,No,Manufacturing,17600,7,,7
,Financial transaction process/accounting ,Enhancement,,3GL,S,,,1,,Banking,2924,,,0
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,620,2.6,,2.6
Client server,,New Development,MF,3GL,L,,,4,,,26717,23,,23
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,,Government,609,21.6,,21.6
,Transaction/Production System ,Enhancement,,4GL,M2,Yes,,1,,Communication,1095,4,,4
,,New Development,Multi,3GL,M2,Yes,,1,,Banking,3546,28,21,28
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,149,4.3,2.2,4.3
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,3567,16,,16
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,L,Yes,,1,,Communication,10957,6,,6
,Management Information System ,Enhancement,MF,3GL,M2,Yes,,4,No,Wholesale & Retail,6696,7,,7
,Financial transaction process/accounting ,Enhancement,Multi,3GL,XXS,Yes,,1,,,87,0.65,,0.65
Stand alone,Management Information System ,Enhancement,MF,3GL,M2,No,,4,No,Electronics & Computers,5358,7,,7
,Sales contact management ,New Development,MF,3GL,M2,Don't Know,,1,No,Manufacturing,3108,2,0,2
Stand alone,Management and follow up of the parts ,New Development,MF,3GL,M2,Yes,,,No,Manufacturing,7678,26.4,,26.4
,relatively complex application ,Enhancement,MF,4GL,S,Yes,,1,,Communication,847,,,0
Multi-tier / Client server,Sales contact management ,New Development,Multi,4GL,M2,Don't Know,,1,No,Manufacturing,4623,25.7,0,25.7
,Utility ,New Development,PC,4GL,XS,,,1,,Electronics & Computers,619,7.9,,7.9
,Financial transaction process/accounting ,Enhancement,Multi,3GL,XS,Yes,,1,,,19,0.36,,0.36
,,Enhancement,,4GL,M2,Don't Know,,1,Don't Know,,1818,6,0,6
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,537,5,,5
,Stock control & order processing ,Enhancement,,3GL,M1,Yes,,1,,Wholesale & Retail,8385,,,0
Client server,relatively complex application ,Enhancement,Multi,4GL,M2,Yes,,1,,Communication,1596,,,0
